Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
TIT	1	4	wx6c		κοινὴν πίστιν	1	our common faith	"ಪೌಲನು ಇದೇ ನಂಬಿಕೆಯನ್ನು ಕ್ರಿಸ್ತನಲ್ಲಿ ಹೊಂದಿರುವುದನ್ನು ಅಭಿವ್ಯಕ್ತಿಸುತ್ತಾನೆ, ಇಬ್ಬರೂ ಅದನ್ನು ಅನುಭವಿಸಿ ಹೊಂದಿರುವಂತೆ ತಿಳಿಸುತ್ತಾನೆ ಪರ್ಯಾಯ ಭಾಷಾಂತರ : ""ಆತನ ಬೋಧನೆಯನ್ನು ಇಬ್ಬರು ಒಂದೇರೀತಿ ವಿಶ್ವಾಸಿಸುವುದಾಗಿ ತಿಳಿಸುತ್ತಾನೆ "" (ನೋಡಿ: @)"
TIT	1	4	h93t	figs-ellipsis	χάρις καὶ εἰρήνη	1	Grace and peace	"ಇದೊಂದು ಸಾಮಾನ್ಯ ವಂದನೆ , ಪೌಲನು ಯಾವಾಗಲೂ ಉಪಯೋಗಿಸುತ್ತಾನೆ. ಅರ್ಥವಾದ ಮಾಹಿತಿಯನ್ನು ನೀವು ಸ್ಪಷ್ಟವಾಗಿ ತಿಳಿಸಬಹುದು. ಪರ್ಯಾಯ ಭಾಷಾಂತರ : ""ನಿಮ್ಮೊಳಗಿರುವ ಕರುಣೆ ಮತ್ತು ಶಾಂತಿಯ ಅನುಭವವನ್ನು ನೀವು ಅನುಭವಿಸಬಹುದು "" "" (ನೋಡಿ: [[rc://en/ta/man/translate/figs-ellipsis]])"
TIT	1	4	s3yr		Χριστοῦ Ἰησοῦ τοῦ Σωτῆρος ἡμῶν	1	Christ Jesus our Savior	ಕ್ರಿಸ್ತ ಯೇಸುವು ನಮ್ಮ ರಕ್ಷಕ
TIT	1	5	ew8h		τούτου χάριν	1	For this purpose	ಈ ಕಾರಣದಿಂದ
TIT	1	5	lh9b		ἀπέλιπόν σε ἐν Κρήτῃ	1	I left you in Crete	ನೀನು ಕ್ರೇತದಲ್ಲೇ ಇರಬೇಕೆಂದು ನಾನು ಹೇಳಿದೆ
TIT	1	5	ga62		ἵνα τὰ λείποντα ἐπιδιορθώσῃ	1	that you might set in order things not yet complete	ಆದುದರಿಂದ ಕ್ರೇತದ್ವೀಪದಲ್ಲಿ ನೀನು ಇನ್ನೂ ಕ್ರಮಕ್ಕೆ ಬಾರದ ಕಾರ್ಯಗಳನ್ನು ಕ್ರಮಪಡಿಸಬೇಕಾಗಿದೆ.
TIT	1	5	b52u		καταστήσῃς ... πρεσβυτέρους	1	ordain elders	"ಹಿರಿಯರನ್ನು ನೇಮಿಸು ಅಥವಾ""ಹಿರಿಯರನ್ನು ನಿಶ್ಚಯಗೊಳಿಸು"""
TIT	1	5	p56w		πρεσβυτέρους	1	elders	ಆದಿ ಕ್ರೈಸ್ತ ಸಭೆಯಲ್ಲಿ ಕ್ರೈಸ್ತಹಿರಿಯರು ವಿಶ್ವಾಸಿಗಳ ಸಂಘದವರಿಗೆ ಆತ್ಮೀಕವಾದ ನಾಯಕತ್ವವನ್ನು ನೀಡುತ್ತಿದ್ದರು.
TIT	1	6	wja4			0	Connecting Statement:	ಕ್ರೇತದ್ವೀಪದಲ್ಲಿನ ಪಟ್ಟಣಗಳಲ್ಲಿ ಹಿರಿಯರಿಗೆ ಸ್ನಾನದೀಕ್ಷೆಯನ್ನು ನೀಡಬೇಕೆಂದು ಪೌಲನು ತೀತನಿಗೆ ಹೇಳಿದನು.ಇದರೊಂದಿಗೆ ಹಿರಿಯರಿಗೆ ಬೇಕಾದ ಅರ್ಹತೆಗಳ ಬಗ್ಗೆ ತಿಳಿಸುತ್ತಾನೆ.
TIT	1	6	jen8		εἴ τίς ἐστιν ἀνέγκλητος ... ἀνήρ	1	An elder must be without blame, the husband	"ಸಭೆಯ ಹಿರಿಯನಾಗಿರುವವನು ""ನಿಂದಾರಹಿತನಾಗಿರಬೇಕು"" ಯಾವುದೇ ದುಷ್ಟಕಾರ್ಯಗಳನ್ನು ಮಾಡದವನಾಗಿರಬೇಕು . ಪರ್ಯಾಯ ಭಾಷಾಂತರ : "" ಒಬ್ಬ ಸಭಾ ಹಿರಿಯನು ಯಾವುದೇ ಅಪಖ್ಯಾತಿ ಹೊಂದಿರಬಾರದು ಮತ್ತು ಒಳ್ಳೆ ಪತಿಯಾಗಿರಬೇಕು ."
TIT	1	6	q6uy	figs-explicit	μιᾶς γυναικὸς ἀνήρ	1	the husband of one wife	"ಇದರ ಅರ್ಥ ಅವನು ಏಕಪತ್ನಿಯುಳ್ಳವನಾಗಿರಬೇಕು. ಅವನು ಬಹುಪತ್ನಿಯುಳ್ಳವನಾಗಿರಬಾರದು. ವೇಶ್ಯೆಯರ ಸಹವಾಸ ಮಾಡಿದವನಾಗಿರಬಾರದು , ಮೊದಲ ಹೆಂಡತಿಯನ್ನು ವಿಚ್ಛೇದನ ಮಾಡಿರಬಾರದು ಪರ್ಯಾಯ ಭಾಷಾಂತರ : ""ಒಬ್ಬ ಪುರುಷ ಒಬ್ಬಳೊಂದಿಗೆ ಮಾತ್ರ ಸಂಬಂಧ ಹೊಂದಿರಬೇಕು "" ಅಥವಾ"" ಒಬ್ಬ ಪುರುಷ ತನ್ನ ಪತ್ನಿಗೆ ವಿಶ್ವಾಸವುಳ್ಳವನಾಗಿರಬೇಕು "" (ನೋಡಿ: [[rc://en/ta/man/translate/figs-explicit]])"
TIT	1	6	wd6q		τέκνα ... πιστά	1	faithful children	ಸಂಭವನೀಯ ಅರ್ಥಗಳು 1) ಯೇಸುವಿನಲ್ಲಿ ನಂಬಿಕೆ ಇಟ್ಟ ಮಕ್ಕಳು ಅಥವಾ 2) ನಂಬಿಕೆಗೆ ಅರ್ಹರಾದ ಮಕ್ಕಳು
TIT	1	7	lz7x		τὸν ἐπίσκοπον	1	overseer	"ಆತ್ಮಿಕವಾದ ನಾಯಕತ್ವಕ್ಕೆ ಸಮಾನವಾದ ಇನ್ನೊಂದು ಹೆಸರು 
"" ಹಿರಿಯರು"" ಎಂದು ಪೌಲನು 1:6.ರಲ್ಲಿ ತಿಳಿಸುತ್ತಾನೆ."
TIT	1	7	g2zf	figs-metaphor	Θεοῦ οἰκονόμον	1	God's household manager	"ಪೌಲನು ಹೇಳುವಂತೆ ಸಭಾ ಹಿರಿಯರೆಂದರೆ ದೇವರ ಮನೆವಾರ್ತೆಯನ್ನು ನೋಡಿಕೊಳ್ಳುವುದು. ಹಿರಿಯನಾಗಿ ಮನೆಯ ಕಾರ್ಯಗಳನ್ನು ನಿರ್ವಹಿಸುವ ಹೊಣೆಹೊತ್ತ ಸೇವಕ ಎಂದು."" (ನೋಡಿ: [[rc://en/ta/man/translate/figs-metaphor]])"
TIT	1	7	d6l1		μὴ πάροινον	1	not addicted to wine	"ಅವನು ಮದ್ಯಪಾನ ಮಾಡುವವನಾಗಿರಬಾರದು ಅಥವಾ "" ಕುಡುಕನಾಗಿರಬಾರದು""."
TIT	1	7	j1qq		μὴ πλήκτην	1	not a brawler	""" ಮುಂಗೋಪಿಯಾಗಿರಬಾರದು ಅಥವಾ ಸದಾ ಜಗಳ ಆಡುವವನಾಗಿರಬಾರದು . """
TIT	1	8	i549		ἀλλὰ	1	Instead	ಪೌಲನು ಮುಂದುವರೆದು  ಸಭೆಯ ಹಿರಿಯನಾದವ ಹೇಗಿರಬೇಕು ಮತ್ತು ಹೇಗಿರಬಾರದು ಎಂಬುದರ ಬಗ್ಗೆ ತನ್ನ ವಾದ ವಿವಾದ ಗಳನ್ನು ತಿಳಿಸುತ್ತಾನೆ.
TIT	1	8	vkq1		φιλάγαθον	1	a friend of what is good	ನಿಜವಾದ ಸಭಾ ಹಿರಿಯ ಸತ್ಕಾರ್ಯಗಳನ್ನು ಬಯಸುವವ ನಾಗಿರಬೇಕು.
TIT	1	9	xwy6	figs-metaphor	ἀντεχόμενον	1	hold tightly to	"ಕ್ರೈಸ್ತ ನಂಬಿಕೆಯ ಬಗ್ಗೆ ಇರುವ ಶ್ರದ್ಧೆಯನ್ನು ಕುರಿತು ಪೌಲನು ಮಾತನಾಡುತ್ತಾನೆ. ಸ್ವಸ್ಥ ಬೋಧನೆಯನ್ನು ಜನರು ಸ್ವೀಕರಿಸುವ ಬಗ್ಗೆಯೂ ಹೇಳುತ್ತಾನೆ. ಪರ್ಯಾಯ ಭಾಷಾಂತರ : "" ನಿಷ್ಠಾವಂತ ಭಕ್ತಿ ಹೊಂದಿರಿ ಅಥವಾ "" ಸರಿಯಾಗಿ ತಿಳಿದು ಕೊಳ್ಳಿರಿ."" (ನೋಡಿ: [[rc://en/ta/man/translate/figs-metaphor]])"
TIT	1	9	pzi1		τῇ διδασκαλίᾳ τῇ ὑγιαινούσῃ	1	good teaching	ಕ್ರಿಸ್ತನ ಬೋಧನಾನುಸಾರ ನಂಬತಕ್ಕ ಆತ್ಮೀಕವಾದ ವಿಚಾರಗಳನ್ನು ಬೋಧಿಸುವವನಾಗಿರಬೇಕು.
TIT	1	10	xsq9			0	Connecting Statement:	ದೇವರ   ವಾಕ್ಯವನ್ನು   ವಿರೋಧಿಸುವವರ   ಬಾಯಿ ಕಟ್ಟುವುದಕ್ಕೋಸ್ಕರ ಪೌಲನು ತೀತನನ್ನು ದೇವರ ವಾಕ್ಯವನ್ನು ಬೋಧಿಸಲು ಮತ್ತು ಸುಳ್ಳು ಬೋಧಕರ ಬಗ್ಗೆ ಎಚ್ಚರಿಕೆಯಿಂದ ಇರುವಂತೆ ಕಾರಣ ಸಮೇತವಾಗಿ ತಿಳಿಸುತ್ತಾನೆ.
TIT	1	10	w9kk		ἀνυπότακτοι	1	rebellious people	ಇಲ್ಲಿ ಬರುವ ಜನರು ಪೌಲನ ಸುವಾರ್ತಾ ಸಂದೇಶವನ್ನು ವಿರೋಧಿಸುವವರು .
TIT	1	10	ga6n	figs-metaphor	ματαιολόγοι καὶ φρεναπάται	1	empty talkers and deceivers	"ಇಲ್ಲಿ ಬರುವ ಪ್ರತಿಭಟಿಸುವ ಜನರ ಬಗ್ಗೆ ಹಿಂದಿನ ಪದಗುಚ್ಛಗಳಲ್ಲಿ ತಿಳಿಸಿದೆ .ಇಲ್ಲಿ  ""ನಿರರ್ಥಕ "" ಎಂಬ ಪದ ಅನುಪಯುಕ್ತ ಪದಕ್ಕೆ 
ರೂಪಕವಾಗಿದೆ ಮತ್ತು "" ನಿರರ್ಥಕವಾಗಿ ಮಾತನಾಡುವವರು "" ಅನುಪಯುಕ್ತ ಅಥವಾ ಮೂರ್ಖತನದ ವಿಷಯಗಳನ್ನು ಮಾತನಾ ಡುವವರು .ಪರ್ಯಾಯ ಭಾಷಾಂತರ : "" ಅನುಪಯುಕ್ತ ವಿಷಯ ಗಳನ್ನುಮಾತನಾಡುವ ಜನರು ಮತ್ತು ಇತರರನ್ನು ಮೋಸಕ್ಕೆ ಒಳಪಡಿಸುವರು . "" (ನೋಡಿ: [[rc://en/ta/man/translate/figs-metaphor]])"
TIT	1	10	pu74	figs-metonymy	οἱ ἐκ τῆς περιτομῆς	1	those of the circumcision	"ಇದು ಕ್ರೈಸ್ತ ಯೆಹೂದ್ಯರನ್ನು ಕುರಿತು ಹೇಳಿರುವ ಮಾತು ಇವರು ಕ್ರಿಸ್ತನನ್ನು ಅನುಸರಿಸಿ ನಡೆಯುವವರು ಸುನ್ನತಿ ಮಾಡಿಸಿ ಕೊಳ್ಳಬೇಕೆಂದು ಬೋಧಿಸುವವರು "" (ನೋಡಿ: [[rc://en/ta/man/translate/figs-metonymy]])"
TIT	1	11	f4iy		οὓς δεῖ ἐπιστομίζειν	1	It is necessary to stop them	"ಇಂತಹವರು ಮಾಡುವ ಇಂತಹ ಬೋಧನೆಗಳು  ಹರಡದಂತೆ ನೋಡಿಕೊಳ್ಳಬೇಕು ಅಥವಾ "" ಅವರು ತಮ್ಮ ಅಭಿಪ್ರಾಯಗಳ ಮೂಲಕ ಜನರ ಮೇಲೆ ಪ್ರಭಾವಬೀರದಂತೆ ನೋಡಿಕೊಳ್ಳಬೇಕು"""
TIT	1	11	tw4e		ἃ μὴ δεῖ	1	what they should not teach	ಕ್ರಿಸ್ತನ ಬೋಧನೆ ಮತ್ತು ನಿಯಮಗಳನ್ನು ಈ ರೀತಿ ಬೋಧಿಸುವುದು ಸರಿಯಲ್ಲ ಏಕೆಂದರೆ ಅವು ನಿಜವಾದುದಲ್ಲ .
TIT	1	11	at7c		αἰσχροῦ κέρδους χάριν	1	for shameful profit	ಯಾವುದು ಸರಿಯಲ್ಲವೋ, ಯಾವುದು ಅನ್ಯಾಯವಾದುದೋ , ಅದರಿಂದ ಜನರಿಗೆ ಯಾವ ಲಾಭವೂ ಇಲ್ಲ ಎಂಬುದನ್ನು ಕುರಿತು ಇದು ಹೇಳುತ್ತದೆ.
